,precision,recall,f1-score,support
0,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
1,0.9302325581395349,0.975609756097561,0.9523809523809523,41.0
accuracy,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
macro avg,0.9357045143638851,0.9088575096277278,0.9206349206349206,60.0
weighted avg,0.9336981304149566,0.9333333333333333,0.9322751322751323,60.0
